0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 191749.848,631,4632350,615,227.36,859989,22.19,0.1343562321138266,
20240428 191752.701,632,4635204,511,149.39,860556,22.19,0.13396924066234392,
20240428 191757.245,633,4639749,344,64.67,861306,22.29,0.1492581868115466,
20240428 191802.241,634,4644747,368,72.93,862233,22.19,0.16068903458028025,
20240428 191803.979,635,4646484,364,71.71,862606,22.19,0.1666611112962901,
20240428 191810.315,636,4652822,421,97.33,863718,22.19,0.2072925519786074,
20240428 191812.954,637,4655462,366,72.41,864278,22.19,0.21022536158762195,
20240428 191813.696,638,4656203,403,88.99,864467,22.19,0.24568817257137243,
20240428 191815.785,639,4658291,430,101.41,864843,22.19,0.27211624806117174,
20240428 191821.430,640,4663939,396,85.28,865773,22.19,0.3166360585143436,
20240428 191822.030,641,4664540,348,65.64,865963,22.19,0.3409594599202155,
20240428 191828.311,642,4670821,387,81.05,867072,22.19,0.3218953196420524,
20240428 191832.029,643,4674540,399,87.3,867817,22.19,0.3357056532832013,
20240428 191847.426,644,4689939,455,117.03,870601,22.19,0.23016548898658135,
20240428 191856.037,645,4698553,327,59.28,872276,22.19,0.21871309216569704,
20240428 191900.081,646,4702597,327,59.28,873017,22.19,0.21219258599104546,
20240428 191902.101,647,4704617,432,101.61,873390,22.19,0.20659022828220225,
20240428 191903.463,648,4705980,355,68.3,873580,22.19,0.2097403414572759,
20240428 191904.098,649,4706616,401,87.91,873769,22.19,0.23436767601012468,
20240428 191909.011,650,4711529,240,41.21,874699,22.19,0.21285200400161766,
20240428 191910.435,651,4712953,371,73.82,874888,22.19,0.23739435951001803,
20240428 191918.378,652,4720899,352,66.89,876367,22.19,0.21575438520787937,
20240428 191920.067,653,4722587,358,69.1,876740,22.19,0.30636316289329374,
20240428 191931.081,654,4733604,403,88.99,878775,22.19,0.2853555530190618,
20240428 191938.330,655,4740854,423,97.36,880076,22.19,0.26144474365342885,
20240428 191946.369,656,4748893,287,50.23,881561,22.19,0.22589681033703804,
20240428 191946.420,657,4748945,334,61.44,881566,22.4,0.23279093046534907,
20240428 191953.944,658,4756470,529,156.43,883046,22.19,0.20061790314167638,
20240428 192021.919,659,4784449,430,101.41,888294,22.19,0.13715915948867066,
20240428 192038.406,660,4800942,384,80.08,891260,22.19,0.11367382432847188,
20240428 192041.820,661,4804356,384,80.08,892005,22.19,0.11984372378418544,
20240428 192059.832,662,4822371,415,95.0,895349,22.19,0.10023555355084449,
20240428 192108.051,663,4830589,499,141.24,896834,22.19,0.10312467773538207,
20240428 192112.103,664,4834644,337,62.3,897585,22.29,0.10664050419630385,
20240428 192124.223,665,4846768,371,73.82,899800,22.19,0.1021930631348744,
20240428 192130.937,666,4853481,504,143.61,901099,22.19,0.09567821502722046,
20240428 192149.248,667,4871796,369,73.42,904456,22.19,0.08672726011239852,
20240428 192150.264,668,4872812,432,101.61,904645,22.19,0.11319259720414285,
20240428 192200.789,669,4883340,335,61.77,906686,22.19,0.12138426617141887,
20240428 192204.363,670,4886915,344,64.67,907244,22.19,0.1211489768968901,
20240428 192216.362,671,4898915,480,130.21,909459,22.19,0.13066771200836272,
20240428 192224.254,672,4906810,313,56.02,910952,22.29,0.13122842932692938,
20240428 192226.865,673,4909419,664,270.86,911509,22.19,0.13375779139134855,
20240428 192231.951,674,4914507,497,142.37,912449,22.19,0.14764942121426886,
20240428 192235.988,675,4918547,412,92.93,913198,22.19,0.15372553842369832,
20240428 192244.646,676,4927206,364,71.71,914871,22.19,0.18051193183869452,
20240428 192245.751,677,4928311,327,59.28,915061,22.19,0.18022239443473245,
20240428 192256.969,678,4939531,300,52.79,917094,22.29,0.17799928800284798,
20240428 192305.084,679,4947647,391,82.35,918572,22.19,0.16468766983415953,
20240428 192308.779,680,4951343,348,65.64,919317,22.19,0.19077780109506456,
20240428 192317.864,681,4960430,366,72.41,920982,22.29,0.18653236336504384,
20240428 192327.778,682,4970344,440,109.25,922833,22.19,0.164168568285916,
